The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
S Raheja New Light,S Raheja Realty,5,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Khar West, available for sale in S Raheja New Light. This society offers apartments in the price range of Rs. 3.55 - 11.95 Cr. The housing society is RERA-registered with P51800024620 registration number. S Raheja New Light apartments are available in multiples sizes, ranging from 775 - 2,598 sq.ft. CARPET area","['Sri BasavWockhardt Hospital', 'Mahalaxmi Station']",11.95,2598.0,45996.92,5
Arkade Aura,Arkade,2,"Arkade Aura, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4 BHK apartments in Santacruz West. Apartment prices in this housing society vary in the range of Rs. 3.38 - 9.2 Cr. Arkade Aura 's RERA registration number is P51800047460. Arkade Aura has apartments in multiple configurations, in range of 573.72 - 1,562 sq.ft.","['B.P.M High School', 'Ramakrishna Mission Hospital']",5.34,1562.0,34186.94,2
Arkade Aura,Arkade,3,"Arkade Aura, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4 BHK apartments in Santacruz West. Apartment prices in this housing society vary in the range of Rs. 3.38 - 9.2 Cr. Arkade Aura 's RERA registration number is P51800047460. Arkade Aura has apartments in multiple configurations, in range of 573.72 - 1,562 sq.ft.","['B.P.M High School', 'Ramakrishna Mission Hospital']",7.94,1562.0,50832.27,3
Arkade Aura,Arkade,4,"Arkade Aura, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4 BHK apartments in Santacruz West. Apartment prices in this housing society vary in the range of Rs. 3.38 - 9.2 Cr. Arkade Aura 's RERA registration number is P51800047460. Arkade Aura has apartments in multiple configurations, in range of 573.72 - 1,562 sq.ft.","['B.P.M High School', 'Ramakrishna Mission Hospital']",9.2,1562.0,58898.85,4
K Raheja Vivarea,K Raheja Corp,3,"Choose your dream home from the wide variety of 3,4 BHK apartments in Mahalaxmi, available for sale in K Raheja Vivarea. K Raheja Vivarea 's RERA registration number is P51900008014. Apartment prices in this housing society vary in the range of Rs. 10.74 - 20.54 Cr. Apartments are Partially Ready To Move in this project","['Thakur Mall Kandivali East', 'Western Express Highway']",15.28,,,3
K Raheja Vivarea,K Raheja Corp,4,"Choose your dream home from the wide variety of 3,4 BHK apartments in Mahalaxmi, available for sale in K Raheja Vivarea. K Raheja Vivarea 's RERA registration number is P51900008014. Apartment prices in this housing society vary in the range of Rs. 10.74 - 20.54 Cr. Apartments are Partially Ready To Move in this project","['Thakur Mall Kandivali East', 'Western Express Highway']",20.54,,,4
Girish Wild Teasel,GIRISH and ASSOCIATES,3,"Finest 3 BHK apartments in Khar West available for sale in Girish Wild Teasel. This society offers apartments in the price range of Rs. 7.03 Cr. Girish Wild Teasel has apartments in multiple configurations, in range of 1,081.56 sq.ft.. This society is RERA approved and P51800055026 is the RERA number",[],7.03,,,3
Viceroy Prive,Viceroy Properties,4,"Viceroy Prive, one of the known housing societes in Western Mumbai, brings classic yet modern 4,5 BHK apartments in Thakur Village. Viceroy Prive 's RERA registration number is P51800049560. This society offers apartments in the price range of Rs. 8 - 12.75 Cr. Viceroy Prive has apartments in multiple configurations, in range of 2,037 - 2,994.95 sq.ft.",[],8.0,299495.0,267.12,4
Viceroy Prive,Viceroy Properties,5,"Viceroy Prive, one of the known housing societes in Western Mumbai, brings classic yet modern 4,5 BHK apartments in Thakur Village. Viceroy Prive 's RERA registration number is P51800049560. This society offers apartments in the price range of Rs. 8 - 12.75 Cr. Viceroy Prive has apartments in multiple configurations, in range of 2,037 - 2,994.95 sq.ft.",[],12.75,299495.0,425.72,5
One Marina,Sheth Creators,2,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft.","['Overlooking Park/Garden', 'Overlooking Main Road']",6.35,277494.0,228.83,2
One Marina,Sheth Creators,3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft.","['Overlooking Park/Garden', 'Overlooking Main Road']",9.0,277494.0,324.33,3
One Marina,Sheth Creators,4,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft.","['Overlooking Park/Garden', 'Overlooking Main Road']",17.99,277494.0,648.3,4
Ashapura The Rising 58,Ashapura United,1,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Ashapura The Rising 58. Apartments in this complex are available in price range of Rs. 77.09 L - 1.12 Cr. The housing society is RERA-registered with P51800034950 registration number. Ashapura The Rising 58 has apartments in multiple configurations, in range of 380.61 - 551.76 sq.ft.","['Girgaon Metro Station', 'Chhatrapati Shivaji Maharaj Terminus']",0.8232,55176.0,149.2,1
Ashapura The Rising 58,Ashapura United,2,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Ashapura The Rising 58. Apartments in this complex are available in price range of Rs. 77.09 L - 1.12 Cr. The housing society is RERA-registered with P51800034950 registration number. Ashapura The Rising 58 has apartments in multiple configurations, in range of 380.61 - 551.76 sq.ft.","['Girgaon Metro Station', 'Chhatrapati Shivaji Maharaj Terminus']",1.12,55176.0,202.99,2
Fortune Florence,Fortune Acres,2,"Fortune Florence, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Borivali East. Prices of apartments in this project, vary between Rs. 1.71 - 2.84 Cr. The housing society is RERA-registered with P51800052043 registration number. Here units have different sizes, mostly in range of 742 - 1,235 sq.ft. CARPET area","['Sambhaji Park', 'Godrej Memorial Hospital']",2.2,1235.0,17813.77,2
Fortune Florence,Fortune Acres,3,"Fortune Florence, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Borivali East. Prices of apartments in this project, vary between Rs. 1.71 - 2.84 Cr. The housing society is RERA-registered with P51800052043 registration number. Here units have different sizes, mostly in range of 742 - 1,235 sq.ft. CARPET area","['Sambhaji Park', 'Godrej Memorial Hospital']",2.84,1235.0,22995.95,3
Lodha Acenza,Lodha,3,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area","['Western Express Hwy', 'Magathane Metro Station']",7.55,2700.0,27962.96,3
Lodha Acenza,Lodha,4,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area","['Western Express Hwy', 'Magathane Metro Station']",8.5,2700.0,31481.48,4
Lodha Acenza,Lodha,5,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area","['Western Express Hwy', 'Magathane Metro Station']",10.5,2700.0,38888.89,5
Hiranandani Regent Hill,Hiranandani Developers,1,"Hiranandani Regent Hill, one of the known housing societes in Central Mumbai, brings classic yet modern 1 BHK apartments in Hiranandani Gardens Powai. Prices of apartments in this project, vary between Rs. 1.46 - 1.51 Cr. Here units have different sizes, mostly in range of 378.46 - 390 sq.ft. CARPET area. Hiranandani Regent Hill 's RERA registration number is P51800018620","['Western Express Highway', 'Western Express Highway Metro Station']",1.51,390.0,38717.95,1
Raheja Ascencio,K Raheja Corp,1,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr","['Racquet Club', 'Galleria Mall']",2.17,1286.0,16874.03,1
Raheja Ascencio,K Raheja Corp,2,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr","['Racquet Club', 'Galleria Mall']",3.19,1286.0,24805.6,2
Raheja Ascencio,K Raheja Corp,3,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr","['Racquet Club', 'Galleria Mall']",4.45,1286.0,34603.42,3
Suraj Ocean Star,Suraj Estate,3,"Choose your dream home from the wide variety of 3,4 BHK apartments in Dadar West, available for sale in Suraj Ocean Star. Suraj Ocean Star apartments are available in multiples sizes, ranging from 1,153.46 - 1,832.13 sq.ft. CARPET area. The housing society is RERA-registered with P51900007257 registration number. Prices of apartments in this project, vary between Rs. 12.33 - 19.59 Cr","['Bombay Scottish School', 'Sinhgad Institute of Business Mgmnt']",14.35,183213.0,783.24,3
Suraj Ocean Star,Suraj Estate,4,"Choose your dream home from the wide variety of 3,4 BHK apartments in Dadar West, available for sale in Suraj Ocean Star. Suraj Ocean Star apartments are available in multiples sizes, ranging from 1,153.46 - 1,832.13 sq.ft. CARPET area. The housing society is RERA-registered with P51900007257 registration number. Prices of apartments in this project, vary between Rs. 12.33 - 19.59 Cr","['Bombay Scottish School', 'Sinhgad Institute of Business Mgmnt']",19.59,183213.0,1069.25,4
Rivali Park,CCI Projects and G Corp,1,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area","['Seven Star Multispeciality', 'Western Express Highway']",,188519.0,,1
Rivali Park,CCI Projects and G Corp,2,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area","['Seven Star Multispeciality', 'Western Express Highway']",2.15,188519.0,114.05,2
Rivali Park,CCI Projects and G Corp,3,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area","['Seven Star Multispeciality', 'Western Express Highway']",2.43,188519.0,128.9,3
Rivali Park,CCI Projects and G Corp,4,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area","['Seven Star Multispeciality', 'Western Express Highway']",5.28,188519.0,280.08,4
Ruparel Panache,Ruparel Realty,3,"Check out 3 BHK apartments in Santacruz West, now available for sale at Ruparel Panache. This society is RERA approved and P51800046597 is the RERA number. This society offers apartments in the price range of Rs. 5.99 Cr. Ruparel Panache has apartments in multiple configurations, in range of 1,081 sq.ft.","['Podar International School', 'Foodhall']",5.99,,,3
